year,month,day,extended,State,City,latitude,longitude,specificity,vicinity,criteria_1,criteria_2,criteria_3,doubt_terrorism,multiple,success,suicide,Attack Type,Attack Name,Target Type,Target Name,Group Name,guncertain1,Weapon Type,Weapon Name,property,Hostage/Kidnapped,Property Value,Fatalities,Offender Fatalities,Wounded,Date
1994,3,12,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),1,Business,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-03-12
1994,3,15,0,Bay,Baidoa,3.115641,43.64658,1.0,1,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,9.0,0.7280546420440172,5.0,1994-03-15
1994,3,20,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,1,Assassination,10,Journalists & Media,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1994-03-20
1994,3,28,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1994-03-28
1994,3,28,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,3.0,1994-03-28
1994,3,28,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-03-28
1994,3,31,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,1.0,0.7280546420440172,0.0,1994-03-31
1994,4,18,0,Lower Juba,Afmadow,0.515556,42.073334,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1994-04-18
1994,4,19,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-04-19
1994,4,20,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,14,Private Citizens & Property,Habr Gedir Clan,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,43.0,1994-04-20
1994,5,16,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,5.0,0.7280546420440172,1.0,1994-05-16
1994,5,17,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-05-17
1994,6,18,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),10,Journalists & Media,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-06-18
1994,6,26,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,0,0,1,Assassination,7,Government (Diplomatic),Unknown,0.0,13,Unknown,0,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-06-26
1994,7,23,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-07-23
1994,7,24,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,9,Food or Water Supply,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-07-24
1994,7,25,0,Hiiraan,Beledweyne,4.73538,45.2024,1.0,0,1,1,1,0,0,1,0,9,Unknown,7,Government (Diplomatic),Somali National Alliance,0.0,13,Unknown,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-07-25
1994,8,9,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-08-09
1994,8,22,0,Unknown,Buriego,0.0,0.0,5.0,0,1,1,1,0,0,1,0,2,Armed Assault,7,Government (Diplomatic),Habr Gedir Clan,0.0,5,Firearms,1,0.0,216666.66666666666,7.0,0.7280546420440172,9.0,1994-08-22
1994,8,25,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,4.0,0.7280546420440172,1.0,1994-08-25
1994,8,28,0,Bay,Baidoa,3.115641,43.64658,1.0,1,1,1,1,-9,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,3.0,0.7280546420440172,0.0,1994-08-28
1994,9,1,0,Middle Juba,Buale,1.122156,42.657165,1.0,0,1,1,1,0,0,1,0,1,Assassination,10,Journalists & Media,Muslim Fundamentalists,0.0,13,Unknown,0,0.0,216666.66666666666,4.0,0.7280546420440172,0.0,1994-09-01
1994,9,3,0,Lower Shebelle,Merca,1.716188,44.768864,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,Muslim Fundamentalists,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-09-03
1994,9,9,0,Middle Shebelle,Balcad,2.359127,45.383671,1.0,0,1,1,1,-9,0,0,0,2,Armed Assault,7,Government (Diplomatic),U/I Somali Militiamen,0.0,5,Firearms,1,0.0,216666.66666666666,4.0,0.7280546420440172,0.0,1994-09-09
1994,9,29,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,9,Unknown,7,Government (Diplomatic),Unknown,0.0,13,Unknown,1,0.0,216666.66666666666,8.0,0.7280546420440172,16.0,1994-09-29
1994,11,22,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-11-22
1994,11,30,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,7,Government (Diplomatic),Unknown,0.0,13,Unknown,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-11-30
